BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,EyeBlinkLeft,EyeBlinkRight,EyeLookDownLeft,EyeLookDownRight,EyeLookInLeft,EyeLookInRight,EyeLookOutLeft,EyeLookOutRight,EyeLookUpLeft,EyeLookUpRight,EyeSquintLeft,EyeSquintRight,EyeWideLeft,EyeWideRight,JawForward,JawLeft,JawOpen,JawRight,MouthClose,MouthDimpleLeft,MouthDimpleRight,MouthFrownLeft,MouthFrownRight,MouthFunnel,MouthLeft,MouthLowerDownLeft,MouthLowerDownRight,MouthPressLeft,MouthPressRight,MouthPucker,MouthRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthSmileLeft,MouthSmileRight,MouthStretchLeft,MouthStretchRight,MouthUpperUpLeft,MouthUpperUpRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
0.000979,0.002267,0.397301,0.392150,0.105894,0.000019,0.000001,0.000000,0.109873,0.138857,0.167001,0.157130,0.020153,0.124496,0.138429,0.044472,0.060297,0.047637,0.249704,0.197143,0.007417,0.003809,0.000068,0.000128,0.000634,0.000013,0.000215,0.002285,0.022099,0.010567,0.008820,0.000150,0.001195,0.000093,0.000039,0.047371,0.213861,0.001805,0.001093,0.005276,0.000780,0.212928,0.064596,0.180257,0.324117,0.092170,0.122602,0.002579,0.007937,0.000002,0.000001,0.000000,0.032696,-0.074444,0.055634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000094,0.000082,0.793715,0.743887,0.469293,0.000022,0.000001,0.000001,0.020196,0.012370,0.235091,0.198772,0.004564,0.411207,0.373576,0.007477,0.042226,0.034836,0.072039,0.030671,0.038124,0.039494,0.000079,0.000239,0.000910,0.000009,0.000329,0.002730,0.011256,0.012671,0.014135,0.000237,0.001925,0.000106,0.000068,0.063359,0.163821,0.003052,0.000958,0.004781,0.000727,0.195489,0.087998,0.077373,0.118770,0.037031,0.068423,0.004124,0.008779,0.000004,0.000001,0.000000,0.040707,-0.053228,0.040345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000435,0.000315,0.674519,0.509336,0.330653,0.000030,0.000001,0.000001,0.140583,0.161493,0.202636,0.198494,0.000305,0.854341,0.834392,0.001071,0.047687,0.034257,0.283457,0.212312,0.006936,0.003956,0.000131,0.000108,0.001044,0.000055,0.000283,0.003965,0.016080,0.020092,0.017826,0.000271,0.000411,0.000140,0.000084,0.087292,0.154049,0.003099,0.003601,0.009639,0.001152,0.171529,0.091729,0.113636,0.165604,0.117318,0.172227,0.001965,0.005099,0.000005,0.000001,0.000000,-0.063888,-0.048348,0.039152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000105,0.000167,0.626451,0.852990,0.603225,0.000603,0.000003,0.000001,0.022321,0.021781,0.249813,0.225276,0.000657,0.876466,0.867651,0.000298,0.033686,0.028980,0.080836,0.062198,0.044907,0.044129,0.000692,0.001446,0.472446,0.003363,0.004921,0.006396,0.011044,0.000093,0.000073,0.104716,0.001495,0.104898,0.101457,0.008301,0.018159,0.126822,0.001229,0.001216,0.006704,0.001105,0.025949,0.533693,0.589980,0.004801,0.003997,0.484178,0.483136,0.000006,0.000002,0.000000,-0.062601,-0.078574,-0.013790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000087,0.000202,0.678580,0.801729,0.426702,0.000546,0.000002,0.000001,0.038004,0.030633,0.215217,0.186227,0.000609,0.858720,0.848846,0.000408,0.042547,0.034531,0.144598,0.078803,0.031258,0.026630,0.000828,0.000668,0.536208,0.009373,0.008320,0.032802,0.015766,0.000028,0.000034,0.068513,0.000801,0.044555,0.075349,0.025718,0.029674,0.067885,0.002577,0.001319,0.008417,0.000744,0.015418,0.476249,0.540275,0.001536,0.009251,0.068615,0.074448,0.000006,0.000002,0.000000,-0.023417,-0.073596,0.011438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000081,0.000022,0.900318,0.478348,0.883526,0.000115,0.000005,0.000001,0.194318,0.086167,0.467662,0.486580,0.347444,0.027662,0.028344,0.370264,0.014934,0.013165,0.360227,0.355249,0.005173,0.014072,0.001802,0.000303,0.015429,0.006596,0.000060,0.005575,0.001542,0.001933,0.001644,0.025787,0.000284,0.173326,0.206166,0.024497,0.002328,0.011007,0.000687,0.000742,0.001034,0.000361,0.065408,0.043589,0.016960,0.046225,0.017398,0.030553,0.018049,0.000016,0.000002,0.000000,-0.578604,-0.093259,-0.110974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000493,0.000145,0.654248,0.242284,0.706832,0.000011,0.000003,0.000001,0.064340,0.033389,0.277728,0.259212,0.066245,0.209887,0.186700,0.034327,0.036346,0.041133,0.278821,0.297343,0.009914,0.036600,0.000163,0.000017,0.000415,0.002369,0.000011,0.006578,0.002231,0.087166,0.125443,0.000774,0.004985,0.000971,0.001224,0.066372,0.018204,0.011661,0.000073,0.007584,0.001263,0.031617,0.048460,0.002267,0.001223,0.020624,0.079636,0.000384,0.000319,0.000023,0.000001,0.000000,-0.493720,-0.175902,-0.201873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000324,0.000129,0.735565,0.299435,0.601716,0.000016,0.000002,0.000001,0.099909,0.037591,0.251676,0.223691,0.046269,0.222249,0.218282,0.039375,0.038909,0.049956,0.263958,0.270278,0.006169,0.027880,0.000186,0.000033,0.000758,0.001192,0.000036,0.010988,0.002416,0.054881,0.064505,0.000253,0.001589,0.000875,0.001313,0.161454,0.015916,0.002911,0.000204,0.010918,0.001537,0.014345,0.020623,0.010626,0.004114,0.041722,0.036182,0.000136,0.000092,0.000012,0.000001,0.000000,-0.494041,-0.116381,-0.198747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000950,0.000164,0.469279,0.090228,0.852073,0.000011,0.000001,0.000001,0.378727,0.056175,0.350899,0.096443,0.336659,0.478078,0.054528,0.022386,0.037085,0.167160,0.469944,0.323439,0.001618,0.032059,0.000133,0.000039,0.000420,0.001626,0.000018,0.024260,0.029229,0.008319,0.008971,0.000245,0.000123,0.000861,0.000472,0.240671,0.116160,0.001944,0.003776,0.007617,0.003951,0.023474,0.003196,0.013090,0.012316,0.012919,0.034921,0.000017,0.000015,0.000009,0.000000,0.000000,-0.635969,-0.100070,-0.151928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000472,0.000137,0.591851,0.128077,0.760830,0.000006,0.000002,0.000001,0.244348,0.055797,0.153266,0.103654,0.093663,0.207190,0.161555,0.046781,0.100074,0.146685,0.461256,0.312253,0.002381,0.027720,0.000058,0.000042,0.000622,0.002038,0.000041,0.031752,0.002885,0.007756,0.016378,0.000690,0.000693,0.000198,0.000328,0.146632,0.017221,0.024538,0.001037,0.009044,0.002269,0.064518,0.016843,0.001310,0.000736,0.003171,0.049668,0.000056,0.000032,0.000011,0.000001,0.000000,-0.538459,-0.106025,-0.173147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
